P3 	plate_0003	A1	P6 	plate_0003C	A1	15
P3 	plate_0003	A2	P6 	plate_0003C	A2	15
P3 	plate_0003	A3	P6 	plate_0003C	A3	15
P3 	plate_0003	A4	P6 	plate_0003C	A4	15
P3 	plate_0003	A5	P6 	plate_0003C	A5	15
P3 	plate_0003	A6	P6 	plate_0003C	A6	15
P3 	plate_0003	A7	P6 	plate_0003C	A7	15
P3 	plate_0003	A8	P6 	plate_0003C	A8	15
P3 	plate_0003	A9	P6 	plate_0003C	A9	15
P3 	plate_0003	A10	P6 	plate_0003C	A10	15
P3 	plate_0003	A11	P6 	plate_0003C	A11	15
P3 	plate_0003	A12	P6 	plate_0003C	A12	15
P3 	plate_0003	B1	P6 	plate_0003C	B1	15
P3 	plate_0003	B2	P6 	plate_0003C	B2	15
P3 	plate_0003	B3	P6 	plate_0003C	B3	15
P3 	plate_0003	B4	P6 	plate_0003C	B4	15
P3 	plate_0003	B5	P6 	plate_0003C	B5	15
P3 	plate_0003	B6	P6 	plate_0003C	B6	15
P3 	plate_0003	B7	P6 	plate_0003C	B7	15
P3 	plate_0003	B8	P6 	plate_0003C	B8	15
P3 	plate_0003	B9	P6 	plate_0003C	B9	15
P3 	plate_0003	B10	P6 	plate_0003C	B10	15
P3 	plate_0003	B11	P6 	plate_0003C	B11	15
P3 	plate_0003	B12	P6 	plate_0003C	B12	15
P3 	plate_0003	C1	P6 	plate_0003C	C1	15
P3 	plate_0003	C2	P6 	plate_0003C	C2	15
P3 	plate_0003	C3	P6 	plate_0003C	C3	15
P3 	plate_0003	C4	P6 	plate_0003C	C4	15
P3 	plate_0003	C5	P6 	plate_0003C	C5	15
P3 	plate_0003	C6	P6 	plate_0003C	C6	15
P3 	plate_0003	C7	P6 	plate_0003C	C7	15
P3 	plate_0003	C8	P6 	plate_0003C	C8	15
P3 	plate_0003	C9	P6 	plate_0003C	C9	15
P3 	plate_0003	C10	P6 	plate_0003C	C10	15
P3 	plate_0003	C11	P6 	plate_0003C	C11	15
P3 	plate_0003	C12	P6 	plate_0003C	C12	15
P3 	plate_0003	D1	P6 	plate_0003C	D1	15
P3 	plate_0003	D2	P6 	plate_0003C	D2	15
P3 	plate_0003	D3	P6 	plate_0003C	D3	15
P3 	plate_0003	D4	P6 	plate_0003C	D4	15
P3 	plate_0003	D5	P6 	plate_0003C	D5	15
P3 	plate_0003	D6	P6 	plate_0003C	D6	15
P3 	plate_0003	D7	P6 	plate_0003C	D7	15
P3 	plate_0003	D8	P6 	plate_0003C	D8	15
P3 	plate_0003	D9	P6 	plate_0003C	D9	15
P3 	plate_0003	D10	P6 	plate_0003C	D10	15
P3 	plate_0003	D11	P6 	plate_0003C	D11	15
P3 	plate_0003	D12	P6 	plate_0003C	D12	15
P3 	plate_0003	E1	P6 	plate_0003C	E1	15
P3 	plate_0003	E2	P6 	plate_0003C	E2	15
P3 	plate_0003	E3	P6 	plate_0003C	E3	15
P3 	plate_0003	E4	P6 	plate_0003C	E4	15
P3 	plate_0003	E5	P6 	plate_0003C	E5	15
P3 	plate_0003	E6	P6 	plate_0003C	E6	15
P3 	plate_0003	E7	P6 	plate_0003C	E7	15
P3 	plate_0003	E8	P6 	plate_0003C	E8	15
P3 	plate_0003	E9	P6 	plate_0003C	E9	15
P3 	plate_0003	E10	P6 	plate_0003C	E10	15
P3 	plate_0003	E11	P6 	plate_0003C	E11	15
P3 	plate_0003	E12	P6 	plate_0003C	E12	15
P3 	plate_0003	F1	P6 	plate_0003C	F1	15
P3 	plate_0003	F2	P6 	plate_0003C	F2	15
P3 	plate_0003	F3	P6 	plate_0003C	F3	15
P3 	plate_0003	F4	P6 	plate_0003C	F4	15
P3 	plate_0003	F5	P6 	plate_0003C	F5	15
P3 	plate_0003	F6	P6 	plate_0003C	F6	15
P3 	plate_0003	F7	P6 	plate_0003C	F7	15
P3 	plate_0003	F8	P6 	plate_0003C	F8	15
P3 	plate_0003	F9	P6 	plate_0003C	F9	15
P3 	plate_0003	F10	P6 	plate_0003C	F10	15
P3 	plate_0003	F11	P6 	plate_0003C	F11	15
P3 	plate_0003	F12	P6 	plate_0003C	F12	15
P3 	plate_0003	G1	P6 	plate_0003C	G1	15
P3 	plate_0003	G2	P6 	plate_0003C	G2	15
P3 	plate_0003	G3	P6 	plate_0003C	G3	15
P3 	plate_0003	G4	P6 	plate_0003C	G4	15
P3 	plate_0003	G5	P6 	plate_0003C	G5	15
P3 	plate_0003	G6	P6 	plate_0003C	G6	15
P3 	plate_0003	G7	P6 	plate_0003C	G7	15
P3 	plate_0003	G8	P6 	plate_0003C	G8	15
P3 	plate_0003	G9	P6 	plate_0003C	G9	15
P3 	plate_0003	G10	P6 	plate_0003C	G10	15
P3 	plate_0003	G11	P6 	plate_0003C	G11	15
P3 	plate_0003	G12	P6 	plate_0003C	G12	15
P3 	plate_0003	H1	P6 	plate_0003C	H1	15
P3 	plate_0003	H2	P6 	plate_0003C	H2	15
P3 	plate_0003	H3	P6 	plate_0003C	H3	15
P3 	plate_0003	H4	P6 	plate_0003C	H4	15
P3 	plate_0003	H5	P6 	plate_0003C	H5	15
P3 	plate_0003	H6	P6 	plate_0003C	H6	15
P3 	plate_0003	H7	P6 	plate_0003C	H7	15
P3 	plate_0003	H8	P6 	plate_0003C	H8	15
P3 	plate_0003	H9	P6 	plate_0003C	H9	15
P3 	plate_0003	H10	P6 	plate_0003C	H10	15
P3 	plate_0003	H11	P6 	plate_0003C	H11	15
P3 	plate_0003	H12	P6 	plate_0003C	H12	15
