080125a						
100uM in 0.1xTE						
						
plate_0003	080125a (0003)					
						
						
						
WellCount	Well	Sequence	Total vol (uL)	Pipet to A	Pipet to B	Left in S
1	A1	1_MseI_AKT1_ROI_11	359.96	75	75	209.96
2	A2	2_MseI_AKT1_ROI_10	270.42	75	75	120.42
3	A3	3_MseI_AKT1_ROI_9	442.5	75	75	292.5
4	A4	4_MseI_AKT1_ROI_8	262.56	75	75	112.56
5	A5	5_MseI_AKT1_ROI_6	258.09	75	75	108.09
6	A6	6_MseI_AKT1_ROI_5	279.99	75	75	129.99
7	A7	7_MseI_TGFBR2_ROI_1	214.7	75	75	64.7
8	A8	8_MseI_TGFBR2_ROI_2	270.09	75	75	120.09
9	A9	9_MseI_TGFBR2_ROI_4	255.86	75	75	105.86
10	A10	10_MseI_TGFBR2_ROI_6	380.11	75	75	230.11
11	A11	11_MseI_TGFBR2_ROI_7	276.99	75	75	126.99
12	A12	12_MseI_TGFBR2_ROI_8	298.72	75	75	148.72
13	B1	13_MseI_KRAS_ROI_5	347.61	75	75	197.61
14	B2	14_MseI_KRAS_ROI_2	260.74	75	75	110.74
15	B3	15_MseI_KRAS_ROI_1	268.54	75	75	118.54
16	B4	16_MseI_APC_ROI_5	255.3	75	75	105.3
17	B5	17_MseI_APC_ROI_6	262.73	75	75	112.73
18	B6	18_MseI_APC_ROI_7	224.14	75	75	74.14
19	B7	19_MseI_APC_ROI_8	283.03	75	75	133.03
20	B8	20_MseI_APC_ROI_9	282.84	75	75	132.84
21	B9	21_MseI_APC_ROI_10	249.7	75	75	99.7
22	B10	22_MseI_APC_ROI_11	232.4	75	75	82.4
23	B11	23_MseI_APC_ROI_12	370.57	75	75	220.57
24	B12	24_MseI_APC_ROI_14	317.87	75	75	167.87
25	C1	25_MseI_FRAP1_ROI_55	272.96	75	75	122.96
26	C2	26_MseI_FRAP1_ROI_54	261.56	75	75	111.56
27	C3	27_MseI_FRAP1_ROI_52	328.87	75	75	178.87
28	C4	28_MseI_FRAP1_ROI_51	285.78	75	75	135.78
29	C5	29_MseI_FRAP1_ROI_50	172.33	75	75	22.33
30	C6	30_MseI_FRAP1_ROI_49	260.92	75	75	110.92
31	C7	31_MseI_FRAP1_ROI_48	241.43	75	75	91.43
32	C8	32_MseI_FRAP1_ROI_47	260.64	75	75	110.64
33	C9	33_MseI_FRAP1_ROI_46	230.45	75	75	80.45
34	C10	34_MseI_FRAP1_ROI_45	271.45	75	75	121.45
35	C11	35_MseI_FRAP1_ROI_43	231.71	75	75	81.71
36	C12	36_MseI_FRAP1_ROI_40	365.7	75	75	215.7
37	D1	37_MseI_FRAP1_ROI_39	251.45	75	75	101.45
38	D2	38_MseI_FRAP1_ROI_38	286.44	75	75	136.44
39	D3	39_MseI_FRAP1_ROI_37	222.39	75	75	72.39
40	D4	40_MseI_FRAP1_ROI_36	311.49	75	75	161.49
41	D5	41_MseI_FRAP1_ROI_35	341.6	75	75	191.6
42	D6	42_MseI_FRAP1_ROI_34	235.23	75	75	85.23
43	D7	43_MseI_FRAP1_ROI_32	291.77	75	75	141.77
44	D8	44_MseI_FRAP1_ROI_30	282.67	75	75	132.67
